iter	RMSE
0	14.19438164
1	13.46812539
2	12.78475515
3	12.21167337
4	11.66714284
5	11.13598367
6	10.6165671
7	10.11124579
8	9.698765093
9	9.233093672
10	8.837116514
11	8.508922669
12	8.189368933
13	7.920299163
14	7.663587656
15	7.373166266
16	7.128791769
17	6.917593056
18	6.729705315
19	6.5468086
20	6.376741093
21	6.221695304
22	6.061084224
23	5.935798971
24	5.829565982
25	5.721265816
26	5.614903798
27	5.527277003
28	5.453090081
29	5.378178421
30	5.32159062
31	5.243442894
32	5.164656285
33	5.096490082
34	5.028378054
35	4.963395527
36	4.914012244
37	4.851695765
38	4.80285648
39	4.754912249
40	4.70411697
41	4.662958374
42	4.621464928
43	4.582440561
44	4.545516756
45	4.508599968
46	4.463330232
47	4.432506956
48	4.396961495
49	4.365339327
50	4.326628229
51	4.294190753
52	4.263383207
53	4.235276099
54	4.203574826
55	4.180855545
56	4.163691216
57	4.140403081
58	4.108054485
59	4.087112077
60	4.062479757
61	4.0351353
62	3.993139452
63	3.955737173
64	3.933707771
65	3.906364929
66	3.880078588
67	3.855700874
68	3.817626984
69	3.798080043
70	3.786024107
71	3.76845658
72	3.73512732
73	3.709956994
74	3.685246277
75	3.674207128
76	3.656775229
77	3.637784535
78	3.620338949
79	3.596430354
80	3.574185086
81	3.558264198
82	3.53385193
83	3.519335225
84	3.499703242
85	3.478526831
86	3.466996961
87	3.45367815
88	3.44095525
89	3.425822124
90	3.402046616
91	3.390393257
92	3.379053417
93	3.365141402
94	3.339039738
95	3.322867569
96	3.298218776
97	3.26881926
98	3.251877504
99	3.251322729
