iter	Passed	Remaining
0	8	813
1	11	539
2	18	584
3	18	455
4	25	491
5	27	433
6	29	390
7	36	414
8	42	432
9	43	392
10	44	363
11	51	377
12	53	359
13	60	372
14	68	387
15	70	367
16	77	376
17	83	381
18	90	385
19	91	366
20	95	357
21	101	359
22	108	361
23	111	352
24	113	339
25	116	332
26	124	335
27	130	336
28	138	339
29	145	339
30	146	325
31	152	324
32	160	325
33	166	323
34	173	321
35	180	320
36	186	317
37	194	316
38	200	313
39	207	311
40	215	309
41	221	306
42	228	302
43	234	298
44	241	294
45	247	290
46	254	286
47	261	283
48	267	278
49	274	274
50	281	270
51	288	266
52	294	261
53	302	257
54	309	253
55	316	248
56	322	243
57	329	238
58	335	233
59	342	228
60	349	223
61	355	218
62	362	212
63	368	207
64	375	202
65	381	196
66	388	191
67	395	186
68	401	180
69	408	175
70	417	170
71	424	165
72	431	159
73	439	154
74	446	148
75	452	142
76	459	137
77	466	131
78	472	125
79	479	119
80	485	113
81	491	107
82	498	102
83	505	96
84	511	90
85	517	84
86	524	78
87	531	72
88	537	66
89	545	60
90	552	54
91	559	48
92	566	42
93	574	36
94	581	30
95	588	24
96	595	18
97	602	12
98	608	6
99	609	0
